filename,transcript,grammar_score,corrected_text
audio_706.wav," A market place is an exceptionally bustling spot where individuals go to purchase things of their needs. It is a focal point of vaccination for the two purchases and vendors. There is no other place in the zone having so much lively business as the market. I generally locate a major group there. There are few shops all enhanced and perfectly. The normal shops look more alluring representatives come here from distant locations abroad to purchase or to sell their items. The market is constantly swam with the trucks, horses, donkeys and camels. They come stuck with the production of this season, for example cotton, grain, oil seats, tables and so on. As the cost of the things are not set is, the sellers and in addition the buyers.",4.011839,"The market is an exceptionally bustling spot where individuals go to purchase things of their needs. It is a focal point of vaccination for the two purchases and vendors. There is no other place in the zone having so much lively business as the market. I generally locate a major group there. There are few shops all enhanced and perfectly. The normal shops look more attractive representatives come here from distant locations abroad to purchase or sell their items. The market is constantly swam with trucks, horses, donkeys and camels. They come stuck with the production of this season, for example cotton, grain, oil seats, tables and so on."
audio_800.wav," My favorite hobby is reading, I love getting lost in a good book and escaping into different words and characters. Reading helped me to relax and unwind after a long day. And it also helps me to know about new things and expand the origin of my knowledge. Also enjoy writing and I often find myself jotting down ideas for stories or poems in my spare time. Writing allows me to express my creativity and explore different ideas and perspectives. Overall my favorite hobby is one that allows me to engage my mind and explore my interests and passions. Whether it's reading or writing, I always feel fulfilled and regimented after including in my favorite hobbies. There is no other work that brings me more joy.",3.954985,"My favorite hobby is reading, I love getting lost in a good book and escaping into different words and characters. Reading helped me relax and unwind after a long day. And it also helps me to know about new things and expand the origin of my knowledge. Also enjoy writing and I often find myself jotting down ideas for stories or poems in my spare time. Overall, my favorite hobby is one that allows me to engage my mind and explore my interests and passions. Whether it's reading or writing, I always feel fulfilled and regimented after including in my favorite hobbies. There is no other work that brings me more joy."
audio_68.wav," Yeah, I have a soy crowded market. There are different types of people out there. It's very crowded with a large number of people. On one side, there are some people who are selling vegetables, some people are selling fruits, and some are selling other essential products that are required for the humans. And when I hear here's about the market, it's a fascinating thing that there will be a large number of the people. And from morning to evening, people work hard there to fed up themselves for their feed and all. And it's very... that's it.",3.603638,"Yeah, I have a very crowded market. There are different types of people out there. It's very crowded with a large number of people. On one side, there are some people who are selling vegetables, some people are selling fruits, and some are selling other essential products that are required for the humans. And from morning to evening, people work hard there to feed themselves for their feed and all. And it's very... that's it."
audio_1267.wav, My favorite hobby is writing. I have a flip for writing. I enjoy writing on a variety of topics. Okay. I enjoy writing because it helps me to express myself. It helps me to express my feelings. And I am down. And I am passing through difficult times. I like to take records. I am happy. I take records. Writing is my strongest point to express myself. I need to use my pen. I need some software like WPS. I enjoy writing. I don't really write to people. But I can only look for.,3.5794847,I enjoy writing because it helps me to express myself. It helps me to express my feelings. And I am down. And I am passing through difficult times. I like to take records. I am happy. I take records. I enjoy writing. I don't really write to people. But I can only look for.
audio_683.wav," Okay, in a product market, basically, I have a smear of overwhelmed scenes, no vendors calling out their whiz and some of them selling clothes, some of them selling shoes, pads, and the commercial voices of their warts, basically blending into the firebrands and languages. And the A is thick with aroma, you know, it can smell spices of foodstuffs and, you know, people walking around, people trying to hurry up and get work and they've come to buy and lift the market and we're scrawded. You can see people just, you know, walking around, there are sounds of different voices and calling out customers, calling out their customers, but it can't check their goods.",4.0729594,"Okay, in a product market, basically, I have a smear of overwhelmed scenes, no vendors calling out their whiz and some of them selling clothes, some of them selling shoes, pads, and the commercial voices of their warts, basically blending into the firebrands and languages. And the A is thick with aroma, you know, it can smell spices of foodstuffs and, you know, people walking around, people trying to hurry up and get work, and they've come to buy and lift You can see people just walking around, there are sounds of different voices calling out customers, calling out their customers, but it can't check their goods."
audio_1242.wav," My favorite place is Kerala. I would love to visit Kerala. In the Kerala there are so many special places like Dronandapuram, Long Swing and much many more. Traveling experience is we can go by flight, train, car but most preferable is bike from Andhra to Kerala roadway trip. There are some local foods like banana chips, Kerala biryani, Jagford biryani, Tirunandapuram, food and many more. There is a particular time to visit. Mostly we can visit in summer and winter but in winter we can see the pleasant environment, green fields and much more.",3.450292,"My favorite place is Kerala. I would love to visit Kerala. There are some local foods like banana chips, Kerala biryani, Jagford biryani, food and many more. There is a particular time to visit. Mostly we can visit in summer and winter, but in winter we can see the pleasant environment, green fields and much more."
audio_908.wav, The best day of my life is event Monali with my friends and the rupees of 10 days and the best day of my life is when we went to Gautam Pass and we had a lot and so it's for all of you that to visit the place of Gautam Pass where you can experience many many many the joyfulness and excitement of the city the mountains the days and the cool and the loneliness have made my it's special actually and I feel I feel chill there while when I think about the day which was passing and we had a lot as much as possible I reference all to visit the place where Gautam Pass in the place.,3.413453,"The best day of my life is event Monali with my friends and the rupees of 10 days and the best day of my life is when we went to Gautam Pass and we had a lot and so it's for all of you that you visit the place where Gautam Pass is located and you can experience many many many joys and excitement of the city, mountains, the days and the cool and the loneliness have made my it's special actually and I feel I feel chill there while when I think about the day which was"
audio_888.wav," The best day of my life is it started in Chinmaya Mission, in Chinmaya Mission. I had learned many things. I had been selected as a yoga practitioner. I had been selected as a good drawing expert. I received this third present in drawing, apart from this I selected the top 10 in the yoga part. In this way, Chinmaya Institute teach me very good under productive knowledge. In Chinmaya Institute taught me how a good human being will survive in your life. This way, in Chinmaya Mission, I lead my team in a better way to achieve all his team goals. So that's why I had to say the best result of their award. Also on that day, I discussed the best day in my life. So I cannot forget the day. So this way, I want to describe the best day of my life, which I was spending in Chinmaya Mission that's all.",3.7688751,"The best day of my life is it started in Chinmaya Mission, in Chinmaya Mission. I had learned many things. I had been selected as a yoga practitioner. I had been selected as a good drawing expert. I had been selected as a top 10 in the yoga part. In this way, Chinmaya Institute taught me how a good human being will survive in your life. This way, in Chinmaya Mission, I lead my team in a better way to achieve all their team goals. So that's why I had to describe the best day of my life, which I was spending in Chinmaya Mission."
audio_137.wav," So, the topic is the scene of the crowded market. So, after the COVID, after the COVID, the market is very crowded. So, the people are buying and selling new technologies and new features of phones, laptop and electronic devices. So, that they can easily work them. And most likely, we can hear in the market is like cheap products and good features and good technologies that are inside it. And throughout the technologies, increasing day by day, all people are by only technology-related products like mobile, laptops, tablets, earbuds and Bluetooth connecting devices. Thank you.",3.4104304,"So, the topic is the scene of the crowded market. So, after the COVID, after the COVID, the market is very crowded. So, the people are buying and selling new technologies and new features of phones, laptops and electronic devices, so that they can easily work them. And most likely, we can hear in the market is cheap products and good features and good technologies that are inside it. And throughout the technologies, increasing day by day, all people are by only technology-related products like mobile, laptops, tablets, earbuds and Bluetooth connecting devices. Thank you."
audio_770.wav," My hobby is to sing. I am a chaotic musician. I have started learning, I am not a musician from my childhood. I love to sing very much. When I sing, I feel very happy. I will be excited. My mood will be very happy. I enjoy singing. I have a shorty box which helps me to control my breath to sing within the tune. It can adjust my pitch etc. I love singing alone as well as singing as a team, as a group, performing group songs etc. I am to become a singer and a future. I will definitely become a singer. And I...",3.413453,"I am a chaotic musician. I have started learning, I am not a musician from my childhood. I love to sing very much. When I sing, I feel very happy. I will be excited. My mood will be happy. I enjoy singing. I love singing alone as well as singing as a team, as a group, performing group songs etc. I am to become a singer and a future. I will definitely become a singer. And I will definitely become a singer."
audio_735.wav, 1.0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1 1.0.7.7.7.7.7.7.7.7.7.8.1.1.1.2.1.2.1.2.1.1.1.2.1.2.1.2.2.2.2 2.3 3 4.4.4.4.5.8.4.4.4.2.2.2.2.2.2.2.2.3.2.2.2.1.1.1.1.2.2.2.2.2.2.2.4.2.2.2.2.2.2.2.2.2.2.2.2 1.0-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1 1.0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1 2.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3,4.15362,1.0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.
audio_1026.wav," My school playground is small inside because it's a similar to government school and moreover in that small place we used to play a lot, we used to play dodgeball and you know like everything, everything and all my three morning prayers are done in the same ground and we used to play weekly once for 15 minutes in that playground and which we should be very happy and most of the students are very interested to play games there and I think here one of the most of them",3.658238,"My school playground is small inside because it's a similar to government school and moreover in that small place we used to play a lot, we used to play dodgeball and you know, everything, and all my morning prayers are done in the same ground and we used to play weekly once for 15 minutes in that playground and which we should be very happy and most of the students are very interested to play games there and I think one of the most interesting things is that they are playing dodgeball and I think they are very interested in playing games there"
audio_1214.wav," I have been to the supermarket and I have seen a lot of people, it is very crowded in the supermarket and the most of the people are purchasing electronics which has an offer for the festival sale. I heard the most of the announcements on the electronics which are offered on the day. At the when I entered the morning, the market is fully crowded and it comes to the evening and it is empty. The people most of them are purchase, relax, give us and free gifts and gaming consoles.",3.5282378,I have been to the supermarket and I have seen a lot of people. It is very crowded in the supermarket and the most of the people are purchasing electronics which have an offer for the festival sale. I heard the most of the announcements on the electronics which are offered on the day.
